venue_id,venue_name,location,starting_price
,Smashpoint Arena,4.61·  Kota Jakarta Barat,Rp0
,Epic Court,Kota Manado,Rp0
,Epic Tennis Arena,Kota Surabaya,Rp0
,The Ardjuna,Kota Malang,Rp0
,Biru Tenis Club @ The Blue Table Harbourbay,Kota Batam,Rp0
,Bengawan Sport Centre,4.84·  Kota Surakarta,"Rp15,000"
,Bay Arena Kenjeran Surabaya,4.91·  Kota Surabaya,"Rp25,000"
,RG Padel & RGs Tennis,5.00·  Kabupaten Jepara,"Rp25,000"
,Lapangan Tenis Merdeka Klaten,4.91·  Kabupaten Klaten,"Rp25,000"
,Lapangan Tenis Situ Gintung,4.44·  Kota Tangerang Selatan,"Rp25,000"
,Tidal Sports Center Cileungsi,4.59·  Kabupaten Bogor,"Rp30,000"
,VATA Courts Cibubur,Kabupaten Bogor,"Rp30,000"
,Arco Tennis Club,Kota Depok,"Rp30,000"
,GRIT Istana Bunga,4.95·  Kabupaten Bandung Barat,"Rp35,000"
,Tatabumi Tennis Court,4.83·  Kabupaten Sleman,"Rp35,000"
,Gor Bulog Kanwil Sulteng,5.00·  Kota Palu,"Rp35,000"
,HW Sports Center,5.00·  Kabupaten Pekalongan,"Rp35,000"
,Lapangan Tenis Mitra Dago,4.94·  Kota Bandung,"Rp35,000"
1,Tennis Graha Sampurna Indah,4.60·  Kota Surabaya,"Rp35,000"
,Dreams Arena - BSD,4.95·  Kabupaten Tangerang,"Rp39,000"
,Permata Tennis Court,4.80·  Kabupaten Bandung Barat,"Rp40,000"
,Margomulyo Sports Center (MSC),4.73·  Kota Surabaya,"Rp40,000"
,Terre Arena,4.81·  Kabupaten Tangerang,"Rp40,000"
3,Lapangan Graha Cinere 3,3.53·  Kota Depok,"Rp40,000"
,Kemang Cage,4.72·  Kota Jakarta Selatan,"Rp40,000"
,PLN UPT MADIUN SPORT CENTRE,4.85·  Kota Madiun,"Rp40,000"
,REDWOOD TRAINING CENTER,5.00·  Kabupaten Lombok Barat,"Rp40,000"
,"TSC (TSM Sport Centre) - Klayan, Cirebon",4.71·  Kota Cirebon,"Rp45,000"
,Hulahoop Wellness Yogyakarta,4.11·  Kabupaten Sleman,"Rp50,000"
,Adhi Tennis Court,4.79·  Kota Jakarta Selatan,"Rp50,000"
,JIEP Sports Club,4.68·  Kota Jakarta Timur,"Rp50,000"
,MXL Ground,4.84·  Kota Jakarta Utara,"Rp50,000"
,Prodigy Padel,4.78·  Kabupaten Tangerang,"Rp50,000"
,Ultradome Padel Tennis Lounge,4.86·  Kota Jakarta Utara,"Rp50,000"
,Modern Golf Sports Club,4.63·  Kota Tangerang,"Rp50,000"
,UB Sport Center,4.71·  Kota Malang,"Rp50,000"
,Cobra Champion,4.90·  Kota Tangerang Selatan,"Rp50,000"
,Longitude Tennis Arena,4.99·  Kabupaten Tangerang,"Rp50,000"
,Baladika Tenis,4.91·  Kota Serang,"Rp50,000"
,Epic Sport Center - Tennis & Pickle,4.88·  Kota Bekasi,"Rp50,000"
,Lapangan Tenis Pusdikarmed,5.00·  Kota Cimahi,"Rp50,000"
,Bwalk Tennis Court Malang,4.44·  Kabupaten Malang,"Rp50,000"
,K3 Tennis And Padel Simulator,4.86·  Kota Tangerang,"Rp50,000"
,Arjuna Sport Center,5.00·  Kabupaten Malang,"Rp50,000"
,SINKONA TENNIS COURT,Kota Bandung,"Rp50,000"
,DARMO BARU TIMUR TENNIS COURT,Kota Surabaya,"Rp50,000"
,JJTC Bukitsari Tennis Park,4.92·  Kota Semarang,"Rp55,000"
,Airo Sport,5.00·  Kota Surabaya,"Rp55,500"
,Lapangan Tenis Indonesia Muda,4.69·  Kota Tangerang Selatan,"Rp60,000"
,Tennis Raflesia Taman  Yasmin,4.80·  Kota Bogor,"Rp60,000"
,Basketball Tennis C3 Serpong,Kota Tangerang Selatan,"Rp60,000"
,Ide Tennis Court,4.93·  Kota Jakarta Timur,"Rp60,000"
,Oase Arena Kota Tasikmalaya,Kota Tasikmalaya,"Rp60,000"
,Lapangan Tennis Unila Panglima Polim,Kota Bandar Lampung,"Rp60,000"
,Tennis Outdoor Ajendam Malang,4.60·  Kota Malang,"Rp60,000"
,FunK Court,4.50·  Kota Bekasi,"Rp60,000"
,WBA Sport Center,4.66·  Kabupaten Sidoarjo,"Rp65,000"
,Dharmais Arena,4.91·  Kabupaten Bogor,"Rp65,000"
,Ciangsana Cibubur Tennis Court,4.92·  Kabupaten Bogor,"Rp65,000"
,X25 Tennis & Padel Court Samarinda,4.80·  Kota Samarinda,"Rp65,000"
,GREEN TENNIS COURT,5.00·  Kota Kediri,"Rp65,000"
,Serva Social Club Depok,4.83·  Kota Depok,"Rp69,000"
